SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
WEST UNIVERSITY CHARTER H.S.,278,166,0.5971,0.4029,CHARTER,4/3/2020
SEMINOLE HEIGHTS CHARTER SCH,239,135,0.5649,0.4351,CHARTER,4/3/2020
GAITHER HIGH SCHOOL,2053,709,0.3453,0.6547,HIGH,4/3/2020
CLEVELAND ELEMENTARY,388,130,0.3351,0.6649,ELEMENTARY,4/3/2020
ADVANTAGE ACADEMY OF HILLSBORO,447,131,0.2931,0.7069,CHARTER,4/3/2020
VILLAGE OF EXCELLENCE MS,102,29,0.2843,0.7157,CHARTER,4/3/2020
MIDDLETON HIGH SCHOOL,1518,374,0.2464,0.7536,HIGH,4/3/2020
KIDS COMM COLLEGE SOUTHEAST MI,207,42,0.2029,0.7971,CHARTER,4/3/2020
OAK PARK ELEMENTARY,518,94,0.1815,0.8185,ELEMENTARY,4/3/2020
THONOTOSASSA ELEMENTARY,439,78,0.1777,0.8223,ELEMENTARY,4/3/2020
FOCUS ACADEMY,108,15,0.1389,0.8611,CHARTER,4/3/2020
BOWERS-WHITLEY CAREER CENTER,101,14,0.1386,0.8614,ALTERNATIVE,4/3/2020
BRYAN PLANT CITY ELEMENTARY,734,101,0.1376,0.8624,ELEMENTARY,4/3/2020
WILLIS PETERS EXCEPTIONAL CTR,75,10,0.1333,0.8667,ALTERNATIVE,4/3/2020
PIZZO K-8 SCHOOL,996,130,0.1305,0.8695,ALTERNATIVE,4/3/2020
SULPHUR SPRINGS K-8 COMMUNITY,773,93,0.1203,0.8797,ALTERNATIVE,4/3/2020
BRIDGEPREP ACADEMY OF RIVERVIE,1051,124,0.118,0.882,CHARTER,4/3/2020
SPORTS LEADERSHIP & MANAG ACAD,411,48,0.1168,0.8832,CHARTER,4/3/2020
EXCELSIOR PREP CHARTER SCHOOL,181,21,0.116,0.884,CHARTER,4/3/2020
CHANNELSIDE ACAD MATH AND SCI,521,60,0.1152,0.8848,CHARTER,4/3/2020
FOSTER ELEMENTARY,450,51,0.1133,0.8867,ELEMENTARY,4/3/2020
FLORIDA AUTISM CHARTER SCHOOL,131,14,0.1069,0.8931,CHARTER,4/3/2020
MORT ELEMENTARY,1025,105,0.1024,0.8976,ELEMENTARY,4/3/2020
WITTER ELEMENTARY,629,64,0.1017,0.8983,ELEMENTARY,4/3/2020
INDEPENDENCE ACADEMY,942,95,0.1008,0.8992,CHARTER,4/3/2020
RODGERS MIDDLE SCHOOL,867,85,0.098,0.902,MIDDLE,4/3/2020
JENNINGS MIDDLE SCHOOL,720,69,0.0958,0.9042,MIDDLE,4/3/2020
SLAM ACADEMY AT APOLLO BEACH,538,50,0.0929,0.9071,CHARTER,4/3/2020
SHAW ELEMENTARY,736,65,0.0883,0.9117,ELEMENTARY,4/3/2020
CLAIR MEL ELEMENTARY,557,46,0.0826,0.9174,ELEMENTARY,4/3/2020
WATERS CAREER CENTER,121,10,0.0826,0.9174,ALTERNATIVE,4/3/2020
EDISON ELEMENTARY,390,32,0.0821,0.9179,ELEMENTARY,4/3/2020
BRIDGEPREP ACADEMY OF TAMPA,342,28,0.0819,0.9181,CHARTER,4/3/2020
TURKEY CREEK MIDDLE SCHOOL,1089,87,0.0799,0.9201,MIDDLE,4/3/2020
DR KIRAN C PATEL HIGH SCHOOL,241,19,0.0788,0.9212,CHARTER,4/3/2020
ROBLES ELEMENTARY,761,60,0.0788,0.9212,ELEMENTARY,4/3/2020
PLANT CITY HIGH SCHOOL,2293,180,0.0785,0.9215,HIGH,4/3/2020
SPOTO HIGH SCHOOL,1638,127,0.0775,0.9225,HIGH,4/3/2020
ARMWOOD HIGH SCHOOL,2171,167,0.0769,0.9231,HIGH,4/3/2020
EAST BAY HIGH SCHOOL,2389,182,0.0762,0.9238,HIGH,4/3/2020
THE COLLABORATORY PREP ACADEMY,106,8,0.0755,0.9245,CHARTER,4/3/2020
LAMB ELEMENTARY,676,51,0.0754,0.9246,ELEMENTARY,4/3/2020
SHIELDS MIDDLE SCHOOL,1843,139,0.0754,0.9246,MIDDLE,4/3/2020
DR CARTER G WOODSON K-8,1085,80,0.0737,0.9263,ALTERNATIVE,4/3/2020
MCDONALD ELEMENTARY,529,39,0.0737,0.9263,ELEMENTARY,4/3/2020
WATERSET CHARTER SCHOOL,1135,83,0.0731,0.9269,CHARTER,4/3/2020
DICKENSON ELEMENTARY,633,46,0.0727,0.9273,ELEMENTARY,4/3/2020
ANDERSON ELEMENTARY,381,27,0.0709,0.9291,ELEMENTARY,4/3/2020
KING HIGH SCHOOL,1708,120,0.0703,0.9297,HIGH,4/3/2020
KENLY ELEMENTARY,488,34,0.0697,0.9303,ELEMENTARY,4/3/2020
GRECO MIDDLE SCHOOL,864,60,0.0694,0.9306,MIDDLE,4/3/2020
MILES ELEMENTARY,830,57,0.0687,0.9313,ELEMENTARY,4/3/2020
DOROTHY THOMAS EXCEPTIONAL CTR,59,4,0.0678,0.9322,ALTERNATIVE,4/3/2020
VILLAGE OF EXCELLENCE,241,16,0.0664,0.9336,CHARTER,4/3/2020
BELL CREEK ACADEMY HIGH SCHOOL,528,35,0.0663,0.9337,CHARTER,4/3/2020
BING ELEMENTARY,485,31,0.0639,0.9361,ELEMENTARY,4/3/2020
LEWIS ELEMENTARY,788,50,0.0635,0.9365,ELEMENTARY,4/3/2020
GIUNTA MIDDLE SCHOOL,814,51,0.0627,0.9373,MIDDLE,4/3/2020
CREEKSIDE CHARTER ACADEMY,650,40,0.0615,0.9385,CHARTER,4/3/2020
WALTON ACADEMY,180,11,0.0611,0.9389,CHARTER,4/3/2020
WINTHROP CHARTER SCHOOL,1320,79,0.0598,0.9402,CHARTER,4/3/2020
KINGSWOOD ELEMENTARY,491,28,0.057,0.943,ELEMENTARY,4/3/2020
PEPIN ACADEMIES,807,46,0.057,0.943,CHARTER,4/3/2020
THOMPSON ELEMENTARY,772,43,0.0557,0.9443,ELEMENTARY,4/3/2020
COMMUNITY CHARTER SCHOOL OF EX,252,14,0.0556,0.9444,CHARTER,4/3/2020
TEMPLE TERRACE ELEMENTARY,593,32,0.054,0.946,ELEMENTARY,4/3/2020
YATES ELEMENTARY,706,38,0.0538,0.9462,ELEMENTARY,4/3/2020
RCMA WIMAUMA ACADEMY,226,12,0.0531,0.9469,CHARTER,4/3/2020
WHARTON HIGH SCHOOL,2184,116,0.0531,0.9469,HIGH,4/3/2020
FOREST HILLS ELEMENTARY,777,41,0.0528,0.9472,ELEMENTARY,4/3/2020
MADISON MIDDLE SCHOOL,683,36,0.0527,0.9473,MIDDLE,4/3/2020
WIMAUMA ELEMENTARY,605,31,0.0512,0.9488,ELEMENTARY,4/3/2020
IPPOLITO ELEMENTARY,592,30,0.0507,0.9493,ELEMENTARY,4/3/2020
LOMAX ELEMENTARY MAGNET,350,17,0.0486,0.9514,ELEMENTARY,4/3/2020
BELL CREEK ACADEMY,564,27,0.0479,0.9521,CHARTER,4/3/2020
BAILEY ELEMENTARY,761,35,0.046,0.954,ELEMENTARY,4/3/2020
PIERCE MIDDLE SCHOOL,921,42,0.0456,0.9544,MIDDLE,4/3/2020
LOPEZ EXCEPTIONAL CENTER,66,3,0.0455,0.9545,ALTERNATIVE,4/3/2020
BUCHANAN MIDDLE SCHOOL,749,34,0.0454,0.9546,MIDDLE,4/3/2020
TRAPNELL ELEMENTARY,575,25,0.0435,0.9565,ELEMENTARY,4/3/2020
JAMES ELEMENTARY,554,24,0.0433,0.9567,ELEMENTARY,4/3/2020
KNIGHTS ELEMENTARY,780,33,0.0423,0.9577,ELEMENTARY,4/3/2020
SEMINOLE ELEMENTARY,426,18,0.0423,0.9577,ELEMENTARY,4/3/2020
DAVIS ELEMENTARY,692,28,0.0405,0.9595,ELEMENTARY,4/3/2020
TAMPA BAY BOULEVARD ELEMENTARY,634,25,0.0394,0.9606,ELEMENTARY,4/3/2020
BLOOMINGDALE HIGH SCHOOL,2369,89,0.0376,0.9624,HIGH,4/3/2020
CANNELLA ELEMENTARY,645,24,0.0372,0.9628,ELEMENTARY,4/3/2020
SPRINGHEAD ELEMENTARY,831,30,0.0361,0.9639,ELEMENTARY,4/3/2020
SHEEHY ELEMENTARY,367,13,0.0354,0.9646,ELEMENTARY,4/3/2020
WILSON ELEMENTARY,363,12,0.0331,0.9669,ELEMENTARY,4/3/2020
JACKSON ELEMENTARY,549,18,0.0328,0.9672,ELEMENTARY,4/3/2020
KIMBELL ELEMENTARY,433,14,0.0323,0.9677,ELEMENTARY,4/3/2020
SIMMONS EXCEPTIONAL CENTER,31,1,0.0323,0.9677,ALTERNATIVE,4/3/2020
CORR ELEMENTARY,761,24,0.0315,0.9685,ELEMENTARY,4/3/2020
GRAHAM ELEMENTARY,359,11,0.0306,0.9694,ELEMENTARY,4/3/2020
TWIN LAKES ELEMENTARY,658,20,0.0304,0.9696,ELEMENTARY,4/3/2020
COLSON ELEMENTARY,696,21,0.0302,0.9698,ELEMENTARY,4/3/2020
MULRENNAN MIDDLE SCHOOL,1362,41,0.0301,0.9699,MIDDLE,4/3/2020
MENDENHALL ELEMENTARY,537,16,0.0298,0.9702,ELEMENTARY,4/3/2020
VALRICO ELEMENTARY,806,24,0.0298,0.9702,ELEMENTARY,4/3/2020
MORGAN WOODS ELEMENTARY,477,14,0.0294,0.9706,ELEMENTARY,4/3/2020
REDDICK ELEMENTARY,932,27,0.029,0.971,ELEMENTARY,4/3/2020
MULLER ELEMENTARY MAGNET,421,12,0.0285,0.9715,ELEMENTARY,4/3/2020
DOVER ELEMENTARY,672,19,0.0283,0.9717,ELEMENTARY,4/3/2020
NORTH TAMPA EPIC3 CENTER,109,3,0.0275,0.9725,ALTERNATIVE,4/3/2020
LEARNING GATE COMMUNITY,777,21,0.027,0.973,CHARTER,4/3/2020
MANN MIDDLE SCHOOL,900,24,0.0267,0.9733,MIDDLE,4/3/2020
POTTER ELEMENTARY,531,14,0.0264,0.9736,ELEMENTARY,4/3/2020
SEFFNER ELEMENTARY,454,12,0.0264,0.9736,ELEMENTARY,4/3/2020
MANGO ELEMENTARY,731,19,0.026,0.974,ELEMENTARY,4/3/2020
TAMPA PALMS ELEMENTARY,883,23,0.026,0.974,ELEMENTARY,4/3/2020
STRAWBERRY CREST HIGH SCHOOL,2247,58,0.0258,0.9742,HIGH,4/3/2020
JUST ELEMENTARY,272,7,0.0257,0.9743,ELEMENTARY,4/3/2020
TOWN AND COUNTRY ELEMENTARY,446,11,0.0247,0.9753,ELEMENTARY,4/3/2020
PALM RIVER ELEMENTARY,537,13,0.0242,0.9758,ELEMENTARY,4/3/2020
MCLANE MIDDLE SCHOOL,715,17,0.0238,0.9762,MIDDLE,4/3/2020
YOUNG MIDDLE MAGNET,609,14,0.023,0.977,MIDDLE,4/3/2020
WOODBRIDGE ELEMENTARY,656,15,0.0229,0.9771,ELEMENTARY,4/3/2020
KIDS COMMU COLLEGE RIVERVIEW S,571,13,0.0228,0.9772,CHARTER,4/3/2020
EGYPT LAKE ELEMENTARY,485,11,0.0227,0.9773,ELEMENTARY,4/3/2020
CHIARAMONTE ELEMENTARY,371,8,0.0216,0.9784,ELEMENTARY,4/3/2020
GIBSONTON ELEMENTARY,557,12,0.0215,0.9785,ELEMENTARY,4/3/2020
CARVER EXCEPTIONAL CENTER,47,1,0.0213,0.9787,ALTERNATIVE,4/3/2020
FOLSOM ELEMENTARY,470,10,0.0213,0.9787,ELEMENTARY,4/3/2020
TAMPA HEIGHTS ELEM MAGNET,293,6,0.0205,0.9795,ELEMENTARY,4/3/2020
TURNER BARTELS K-8,1759,36,0.0205,0.9795,ALTERNATIVE,4/3/2020
FROST ELEMENTARY,548,11,0.0201,0.9799,ELEMENTARY,4/3/2020
CAMINITI EXCEPTIONAL CENTER,100,2,0.02,0.98,ALTERNATIVE,4/3/2020
GORRIE ELEMENTARY,567,11,0.0194,0.9806,ELEMENTARY,4/3/2020
BUCKHORN ELEMENTARY,781,15,0.0192,0.9808,ELEMENTARY,4/3/2020
CHAMBERLAIN HIGH SCHOOL,1415,27,0.0191,0.9809,HIGH,4/3/2020
TRINITY SCHOOL FOR CHILDREN,890,17,0.0191,0.9809,CHARTER,4/3/2020
DAVIDSEN MIDDLE SCHOOL,1068,20,0.0187,0.9813,MIDDLE,4/3/2020
BLAKE HIGH SCHOOL,1663,31,0.0186,0.9814,HIGH,4/3/2020
SIMMONS CAREER CENTER,219,4,0.0183,0.9817,ALTERNATIVE,4/3/2020
BAY CREST ELEMENTARY,607,11,0.0181,0.9819,ELEMENTARY,4/3/2020
NELSON ELEMENTARY,777,14,0.018,0.982,ELEMENTARY,4/3/2020
SCHMIDT ELEMENTARY,634,11,0.0174,0.9826,ELEMENTARY,4/3/2020
WEST SHORE ELEMENTARY,403,7,0.0174,0.9826,ELEMENTARY,4/3/2020
LOWRY ELEMENTARY,925,16,0.0173,0.9827,ELEMENTARY,4/3/2020
LITHIA SPRINGS ELEMENTARY,641,11,0.0172,0.9828,ELEMENTARY,4/3/2020
LOPEZ ELEMENTARY,582,10,0.0172,0.9828,ELEMENTARY,4/3/2020
BRANDON HIGH SCHOOL,1736,29,0.0167,0.9833,HIGH,4/3/2020
HILLSBOROUGH ACAD MATH SCIENCE,844,14,0.0166,0.9834,CHARTER,4/3/2020
ALONSO HIGH SCHOOL,2499,41,0.0164,0.9836,HIGH,4/3/2020
EAST TAMPA ACADEMY,61,1,0.0164,0.9836,CHARTER,4/3/2020
LIBERTY MIDDLE SCHOOL,1157,19,0.0164,0.9836,MIDDLE,4/3/2020
HILLSBOROUGH HIGH SCHOOL,1799,28,0.0156,0.9844,HIGH,4/3/2020
LANIER ELEMENTARY,388,6,0.0155,0.9845,ELEMENTARY,4/3/2020
FREEDOM HIGH SCHOOL,1746,26,0.0149,0.9851,HIGH,4/3/2020
SUMMERFIELD ELEMENTARY,813,12,0.0148,0.9852,ELEMENTARY,4/3/2020
SYMMES ELEMENTARY,478,7,0.0146,0.9854,ELEMENTARY,4/3/2020
BROOKER ELEMENTARY,916,13,0.0142,0.9858,ELEMENTARY,4/3/2020
HERITAGE ELEMENTARY,563,8,0.0142,0.9858,ELEMENTARY,4/3/2020
FERRELL (GIRLS) MIDDLE MAGNET,572,8,0.014,0.986,MIDDLE,4/3/2020
APOLLO BEACH ELEMENTARY,658,9,0.0137,0.9863,ELEMENTARY,4/3/2020
CRESTWOOD ELEMENTARY,875,12,0.0137,0.9863,ELEMENTARY,4/3/2020
JEFFERSON HIGH SCHOOL,1615,22,0.0136,0.9864,HIGH,4/3/2020
SOUTH COUNTY CAREER CENTER,223,3,0.0135,0.9865,ALTERNATIVE,4/3/2020
RIVERVIEW ELEMENTARY,600,8,0.0133,0.9867,ELEMENTARY,4/3/2020
BURNETT MIDDLE SCHOOL,771,10,0.013,0.987,MIDDLE,4/3/2020
ESE HOSPITAL/HOMEBOUND,155,2,0.0129,0.9871,ALTERNATIVE,4/3/2020
DOBY ELEMENTARY,869,11,0.0127,0.9873,ELEMENTARY,4/3/2020
TAMPA BAY TECH HIGH SCHOOL,2044,26,0.0127,0.9873,HIGH,4/3/2020
COLEMAN MIDDLE SCHOOL,1030,13,0.0126,0.9874,MIDDLE,4/3/2020
SLIGH MIDDLE SCHOOL,556,7,0.0126,0.9874,MIDDLE,4/3/2020
BOYETTE SPRINGS ELEMENTARY,809,10,0.0124,0.9876,ELEMENTARY,4/3/2020
PRIDE ELEMENTARY,807,10,0.0124,0.9876,ELEMENTARY,4/3/2020
DESOTO ELEMENTARY,256,3,0.0117,0.9883,ELEMENTARY,4/3/2020
SUMMERFIELD CROSSINGS ELEM,1027,12,0.0117,0.9883,ELEMENTARY,4/3/2020
WESTCHASE ELEMENTARY,956,11,0.0115,0.9885,ELEMENTARY,4/3/2020
DOWDELL MIDDLE SCHOOL,615,7,0.0114,0.9886,MIDDLE,4/3/2020
WILLIAMS MIDDLE SCHOOL,807,9,0.0112,0.9888,MIDDLE,4/3/2020
CLAYWELL ELEMENTARY,730,8,0.011,0.989,ELEMENTARY,4/3/2020
WALDEN LAKE ELEMENTARY,828,9,0.0109,0.9891,ELEMENTARY,4/3/2020
AVANT GARDE ACADEMY,373,4,0.0107,0.9893,CHARTER,4/3/2020
CARROLLWOOD ELEMENTARY,757,8,0.0106,0.9894,ELEMENTARY,4/3/2020
CLARK ELEMENTARY,864,9,0.0104,0.9896,ELEMENTARY,4/3/2020
RANDALL MIDDLE SCHOOL,1473,15,0.0102,0.9898,MIDDLE,4/3/2020
CORK ELEMENTARY,694,7,0.0101,0.9899,ELEMENTARY,4/3/2020
BENITO MIDDLE SCHOOL,1108,11,0.0099,0.9901,MIDDLE,4/3/2020
LIMONA ELEMENTARY,611,6,0.0098,0.9902,ELEMENTARY,4/3/2020
DURANT HIGH SCHOOL,2410,23,0.0095,0.9905,HIGH,4/3/2020
ESSRIG ELEMENTARY,629,6,0.0095,0.9905,ELEMENTARY,4/3/2020
SHORE ELEMENTARY,423,4,0.0095,0.9905,ELEMENTARY,4/3/2020
RAMPELLO DOWNTOWN PARTNERSHIP,765,7,0.0092,0.9908,ALTERNATIVE,4/3/2020
CYPRESS CREEK ELEMENTARY,992,9,0.0091,0.9909,ELEMENTARY,4/3/2020
SMITH MIDDLE SCHOOL,777,7,0.009,0.991,MIDDLE,4/3/2020
BURNS MIDDLE SCHOOL,1383,12,0.0087,0.9913,MIDDLE,4/3/2020
RCMA LEADERSHIP ACADEMY,117,1,0.0085,0.9915,CHARTER,4/3/2020
DUNBAR ELEMENTARY,238,2,0.0084,0.9916,ELEMENTARY,4/3/2020
BELLAMY ELEMENTARY,604,5,0.0083,0.9917,ELEMENTARY,4/3/2020
BURNEY ELEMENTARY,362,3,0.0083,0.9917,ELEMENTARY,4/3/2020
OAK GROVE ELEMENTARY,840,7,0.0083,0.9917,ELEMENTARY,4/3/2020
COLLINS ELEMENTARY,1016,8,0.0079,0.9921,ELEMENTARY,4/3/2020
FRANKLIN (BOYS) MIDDLE MAGNET,513,4,0.0078,0.9922,MIDDLE,4/3/2020
LOCKHART ELEMENTARY MAGNET,384,3,0.0078,0.9922,ELEMENTARY,4/3/2020
TOMLIN MIDDLE SCHOOL,1670,13,0.0078,0.9922,MIDDLE,4/3/2020
WEBB MIDDLE SCHOOL,783,6,0.0077,0.9923,MIDDLE,4/3/2020
MARSHALL MIDDLE SCHOOL,923,7,0.0076,0.9924,MIDDLE,4/3/2020
BT WASHINGTON ELEMENTARY,441,3,0.0068,0.9932,ELEMENTARY,4/3/2020
MITCHELL ELEMENTARY,771,5,0.0065,0.9935,ELEMENTARY,4/3/2020
ALAFIA ELEMENTARY,621,4,0.0064,0.9936,ELEMENTARY,4/3/2020
CHILES ELEMENTARY,951,6,0.0063,0.9937,ELEMENTARY,4/3/2020
ROOSEVELT ELEMENTARY,790,5,0.0063,0.9937,ELEMENTARY,4/3/2020
BROWARD ELEMENTARY,331,2,0.006,0.994,ELEMENTARY,4/3/2020
NORTHWEST ELEMENTARY,707,4,0.0057,0.9943,ELEMENTARY,4/3/2020
ROBINSON ELEMENTARY,697,4,0.0057,0.9943,ELEMENTARY,4/3/2020
BARRINGTON MIDDLE SCHOOL,1618,9,0.0056,0.9944,MIDDLE,4/3/2020
MINTZ ELEMENTARY,789,4,0.0051,0.9949,ELEMENTARY,4/3/2020
CITRUS PARK ELEMENTARY,609,3,0.0049,0.9951,ELEMENTARY,4/3/2020
SESSUMS ELEMENTARY,1018,5,0.0049,0.9951,ELEMENTARY,4/3/2020
LITERACY LEADERSHIP TECH ACAD,628,3,0.0048,0.9952,CHARTER,4/3/2020
PLANT HIGH SCHOOL,2517,12,0.0048,0.9952,HIGH,4/3/2020
ROBINSON HIGH SCHOOL,1450,7,0.0048,0.9952,HIGH,4/3/2020
PIVOT CHARTER SCHOOL,212,1,0.0047,0.9953,CHARTER,4/3/2020
NAVIGATOR ACADEMY OF LEADERSHI,455,2,0.0044,0.9956,CHARTER,4/3/2020
STOWERS ELEMENTARY,901,4,0.0044,0.9956,ELEMENTARY,4/3/2020
DEER PARK ELEMENTARY,983,4,0.0041,0.9959,ELEMENTARY,4/3/2020
HAMMOND ELEMENTARY,736,3,0.0041,0.9959,ELEMENTARY,4/3/2020
HUNTER'S GREEN ELEMENTARY,734,3,0.0041,0.9959,ELEMENTARY,4/3/2020
LUTZ K-8 SCHOOL,761,3,0.0039,0.9961,ALTERNATIVE,4/3/2020
RIVERVIEW HIGH SCHOOL,2528,9,0.0036,0.9964,HIGH,4/3/2020
ALEXANDER ELEMENTARY,585,2,0.0034,0.9966,ELEMENTARY,4/3/2020
PINECREST ELEMENTARY,586,2,0.0034,0.9966,ELEMENTARY,4/3/2020
SUNLAKE ACAD OF MATH & SCIENCE,707,2,0.0028,0.9972,CHARTER,4/3/2020
MANISCALCO K-8 SCHOOL,739,2,0.0027,0.9973,ALTERNATIVE,4/3/2020
ADAMS MIDDLE SCHOOL,769,2,0.0026,0.9974,MIDDLE,4/3/2020
RUSKIN ELEMENTARY,780,2,0.0026,0.9974,ELEMENTARY,4/3/2020
WARREN HOPE DAWSON ELEMENTARY,769,2,0.0026,0.9974,ELEMENTARY,4/3/2020
STEINBRENNER HIGH SCHOOL,2511,6,0.0024,0.9976,HIGH,4/3/2020
BALLAST POINT ELEMENTARY,508,1,0.002,0.998,ELEMENTARY,4/3/2020
GRADY ELEMENTARY,537,1,0.0019,0.9981,ELEMENTARY,4/3/2020
TINKER K-8 SCHOOL,543,1,0.0018,0.9982,ALTERNATIVE,4/3/2020
FISHHAWK CREEK ELEMENTARY,1146,2,0.0017,0.9983,ELEMENTARY,4/3/2020
BROOKS DEBARTOLO COLLEGIATE,611,1,0.0016,0.9984,CHARTER,4/3/2020
SCHWARZKOPF ELEMENTARY,621,1,0.0016,0.9984,ELEMENTARY,4/3/2020
SICKLES HIGH SCHOOL,2413,3,0.0012,0.9988,HIGH,4/3/2020
PROGRESS VILLAGE MIDDLE SCHOOL,927,1,0.0011,0.9989,MIDDLE,4/3/2020
LETO HIGH SCHOOL,2028,2,0.001,0.999,HIGH,4/3/2020
FARNELL MIDDLE SCHOOL,1276,1,0.0008,0.9992,MIDDLE,4/3/2020
NEWSOME HIGH SCHOOL,2995,2,0.0007,0.9993,HIGH,4/3/2020
LENNARD HIGH SCHOOL,3190,2,0.0006,0.9994,HIGH,4/3/2020
ACTS,15,0,0,1,ALTERNATIVE,4/3/2020
AMI KIDS YES,31,0,0,1,ALTERNATIVE,4/3/2020
BEVIS ELEMENTARY,890,0,0,1,ELEMENTARY,4/3/2020
BRANDON EPIC3 CENTER,112,0,0,1,ALTERNATIVE,4/3/2020
BRYANT ELEMENTARY,962,0,0,1,ELEMENTARY,4/3/2020
CIMINO ELEMENTARY,837,0,0,1,ELEMENTARY,4/3/2020
COLUMBUS JUVENILE RESIDENTIAL,42,0,0,1,ALTERNATIVE,4/3/2020
DETENTION CENTER WEST,29,0,0,1,ALTERNATIVE,4/3/2020
EARLY CHILDHOOD PROGRAMS,1,0,0,1,ALTERNATIVE,4/3/2020
EISENHOWER MIDDLE SCHOOL,1447,0,0,1,MIDDLE,4/3/2020
ENCORE,37,0,0,1,ALTERNATIVE,4/3/2020
ESE BIRTH THROUGH AGE 5,401,0,0,1,ALTERNATIVE,4/3/2020
FALKENBURG ROAD JAIL,6,0,0,1,ALTERNATIVE,4/3/2020
FLORIDA CONNECTIONS ACADEMY,2204,0,0,1,CHARTER,4/3/2020
HENDERSON HAMMOCK CHARTER SCH,1111,0,0,1,CHARTER,4/3/2020
HILL MIDDLE SCHOOL,1079,0,0,1,MIDDLE,4/3/2020
HILLSBOROUGH GIRLS ACADEMY,18,0,0,1,ALTERNATIVE,4/3/2020
HORIZON CHARTER SCH.OF TAMPA,308,0,0,1,CHARTER,4/3/2020
KID'S COMMU COLLEGE CHARTER HS,213,0,0,1,CHARTER,4/3/2020
KIDS COMMU COLLEGE SOUTHEAST,374,0,0,1,CHARTER,4/3/2020
LAKE ACADEMY,24,0,0,1,ALTERNATIVE,4/3/2020
LAKE MAGDALENE ELEMENTARY,785,0,0,1,ELEMENTARY,4/3/2020
LAVOY EXCEPTIONAL CENTER,77,0,0,1,ALTERNATIVE,4/3/2020
LEGACY PREPARATORY ACADEMY,216,0,0,1,CHARTER,4/3/2020
LES PETERS ACADEMY,12,0,0,1,ALTERNATIVE,4/3/2020
LINCOLN ELEMENTARY MAGNET,486,0,0,1,ELEMENTARY,4/3/2020
LUTZ PREPARATORY SCHOOL,782,0,0,1,CHARTER,4/3/2020
MABRY ELEMENTARY,872,0,0,1,ELEMENTARY,4/3/2020
MACFARLANE PARK ELEM MAGNET,359,0,0,1,ELEMENTARY,4/3/2020
MARTINEZ MIDDLE SCHOOL,1236,0,0,1,MIDDLE,4/3/2020
MCKITRICK ELEMENTARY,1045,0,0,1,ELEMENTARY,4/3/2020
MEMORIAL MIDDLE SCHOOL,715,0,0,1,MIDDLE,4/3/2020
MENDEZ EXCEPTIONAL CENTER,14,0,0,1,ALTERNATIVE,4/3/2020
MONROE MIDDLE SCHOOL,378,0,0,1,MIDDLE,4/3/2020
NEW SPRINGS SCHOOL,426,0,0,1,CHARTER,4/3/2020
ORANGE GROVE MIDDLE MAGNET,497,0,0,1,MIDDLE,4/3/2020
PACE CENTER FOR GIRLS,57,0,0,1,ALTERNATIVE,4/3/2020
PLATO ACADEMY TAMPA CHARTER SC,167,0,0,1,CHARTER,4/3/2020
RIVERHILLS ELEMENTARY MAGNET,511,0,0,1,ELEMENTARY,4/3/2020
RIVERVIEW ACADEMY OF MATH SCIE,618,0,0,1,CHARTER,4/3/2020
ROLAND PARK K-8 MAGNET,803,0,0,1,ALTERNATIVE,4/3/2020
SOUTHSHORE CHARTER ACADEMY,1089,0,0,1,CHARTER,4/3/2020
STEWART MIDDLE SCHOOL,953,0,0,1,MIDDLE,4/3/2020
SULLIVAN PARTNERSHIP ELEM,98,0,0,1,ELEMENTARY,4/3/2020
TAMPA RESIDENTIAL FACILITY,44,0,0,1,ALTERNATIVE,4/3/2020
TERRACE COMMUNITY SCHOOL,657,0,0,1,CHARTER,4/3/2020
TITLE ONE PRIVATE SCHOOL,1,0,0,1,ALTERNATIVE,4/3/2020
VALRICO LAKE ADVANTAGE ACAD,919,0,0,1,CHARTER,4/3/2020
VIRT FULL-TIME-K-12 FRANCHISE,323,0,0,1,ALTERNATIVE,4/3/2020
WALKER MIDDLE MAGNET,978,0,0,1,MIDDLE,4/3/2020
WEST TAMPA ELEMENTARY,442,0,0,1,ELEMENTARY,4/3/2020
WILSON MIDDLE SCHOOL,658,0,0,1,MIDDLE,4/3/2020
WOODMONT CHARTER SCHOOL,730,0,0,1,CHARTER,4/3/2020
WEST UNIVERSITY CHARTER H.S.,279,146,0.5233,0.4767,CHARTER,4/10/2020
SEMINOLE HEIGHTS CHARTER SCH,226,106,0.469,0.531,CHARTER,4/10/2020
GAITHER HIGH SCHOOL,2052,922,0.4493,0.5507,HIGH,4/10/2020
MIDDLETON HIGH SCHOOL,1516,416,0.2744,0.7256,HIGH,4/10/2020
ADVANTAGE ACADEMY OF HILLSBORO,447,104,0.2327,0.7673,CHARTER,4/10/2020
EXCELSIOR PREP CHARTER SCHOOL,181,40,0.221,0.779,CHARTER,4/10/2020
CLEVELAND ELEMENTARY,388,76,0.1959,0.8041,ELEMENTARY,4/10/2020
BOWERS-WHITLEY CAREER CENTER,100,19,0.19,0.81,ALTERNATIVE,4/10/2020
FLORIDA AUTISM CHARTER SCHOOL,131,22,0.1679,0.8321,CHARTER,4/10/2020
EDISON ELEMENTARY,390,62,0.159,0.841,ELEMENTARY,4/10/2020
OAK PARK ELEMENTARY,518,81,0.1564,0.8436,ELEMENTARY,4/10/2020
